category,variable,component,metric,value
correlation,public_oA,1-5,pearson_correlation,-0.020018891063983132
correlation,public_oA,1-6,pearson_correlation,0.006230577896028431
correlation,public_oA,1-7,pearson_correlation,-0.002812565877018639
correlation,public_oA,2-3,pearson_correlation,0.0025230419543009444
correlation,public_oA,2-4,pearson_correlation,0.005375058013786557
correlation,public_oA,2-5,pearson_correlation,0.012644152428882671
correlation,public_oA,2-6,pearson_correlation,-0.005363858019625892
correlation,public_oA,2-7,pearson_correlation,0.002690854305452165
correlation,public_oA,3-4,pearson_correlation,-0.009198018514208026
correlation,public_oA,3-5,pearson_correlation,-0.001574218716376791
correlation,public_oA,3-6,pearson_correlation,0.010426046398727032
correlation,public_oA,3-7,pearson_correlation,-0.0009397755804563267
correlation,public_oA,4-5,pearson_correlation,0.006083072607666394
correlation,public_oA,4-6,pearson_correlation,-0.013413542536133043
correlation,public_oA,4-7,pearson_correlation,-0.018080108710323634
correlation,public_oA,5-6,pearson_correlation,0.008496036969374565
correlation,public_oA,5-7,pearson_correlation,-0.016693691433778267
correlation,public_oA,6-7,pearson_correlation,-0.003104951521465906
octonion,public_oA,,maximum_absolute_pairwise_correlation,0.022567755788988113
octonion,public_oA,,maximum_correlation_pair,a0-a6
octonion,public_oA,,maximum_correlation_signed_value,-0.022567755788988113
octonion,shared_oB,,null_octonion_count,0
octonion,shared_oB,,noninvertible_count,0
octonion,shared_oB,,noninvertible_rate,0.0
component,shared_oB,0,samples,10000
component,shared_oB,0,mean,124.6704
component,shared_oB,0,distinct_values,251
component,shared_oB,0,entropy_bits,7.951227303719746
component,shared_oB,0,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,0,chi_square_uniform,285.7792
component,shared_oB,0,chi_square_df,250
component,shared_oB,1,samples,10000
component,shared_oB,1,mean,125.5303
component,shared_oB,1,distinct_values,251
component,shared_oB,1,entropy_bits,7.948658142621017
component,shared_oB,1,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,1,chi_square_uniform,316.351
component,shared_oB,1,chi_square_df,250
component,shared_oB,2,samples,10000
component,shared_oB,2,mean,125.0284
component,shared_oB,2,distinct_values,251
component,shared_oB,2,entropy_bits,7.952434107570964
component,shared_oB,2,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,2,chi_square_uniform,266.0003999999999
component,shared_oB,2,chi_square_df,250
component,shared_oB,3,samples,10000
component,shared_oB,3,mean,124.5735
component,shared_oB,3,distinct_values,251
component,shared_oB,3,entropy_bits,7.953777877751255
component,shared_oB,3,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,3,chi_square_uniform,244.81599999999997
component,shared_oB,3,chi_square_df,250
component,shared_oB,4,samples,10000
component,shared_oB,4,mean,125.1191
component,shared_oB,4,distinct_values,251
component,shared_oB,4,entropy_bits,7.9513591237886425
component,shared_oB,4,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,4,chi_square_uniform,281.0102
component,shared_oB,4,chi_square_df,250
component,shared_oB,5,samples,10000
component,shared_oB,5,mean,125.3968
component,shared_oB,5,distinct_values,251
component,shared_oB,5,entropy_bits,7.95118518609338
component,shared_oB,5,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,5,chi_square_uniform,278.50019999999984
component,shared_oB,5,chi_square_df,250
component,shared_oB,6,samples,10000
component,shared_oB,6,mean,125.1672
component,shared_oB,6,distinct_values,251
component,shared_oB,6,entropy_bits,7.952136597029457
component,shared_oB,6,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,6,chi_square_uniform,265.54859999999985
component,shared_oB,6,chi_square_df,250
component,shared_oB,7,samples,10000
component,shared_oB,7,mean,124.4383
component,shared_oB,7,distinct_values,251
component,shared_oB,7,entropy_bits,7.952647552054459
component,shared_oB,7,maximum_uniform_entropy_bits,7.971543553950772
component,shared_oB,7,chi_square_uniform,262.78759999999994
component,shared_oB,7,chi_square_df,250
octonion,shared_oB,,mean_component_entropy_bits,7.951678236328615
octonion,shared_oB,,minimum_component_entropy_bits,7.948658142621017
octonion,shared_oB,,maximum_component_entropy_bits,7.953777877751255
octonion,shared_oB,,mean_component_chi_square,275.09914999999995
norm,shared_oB,,distinct_norm_values,250
norm,shared_oB,,mean,125.4813
norm,shared_oB,,entropy_bits,7.948072806138656
norm,shared_oB,,chi_square_uniform,285.77919999999983
norm,shared_oB,,chi_square_df,250
quadratic_character,shared_oB,-1,count,4982
quadratic_character,shared_oB,-1,rate,0.4982
quadratic_character,shared_oB,0,count,0
quadratic_character,shared_oB,0,rate,0.0
quadratic_character,shared_oB,1,count,5018
quadratic_character,shared_oB,1,rate,0.5018
correlation,shared_oB,0-1,pearson_correlation,-2.3950420987575942e-05
correlation,shared_oB,0-2,pearson_correlation,-0.008508380592651228
correlation,shared_oB,0-3,pearson_correlation,0.011536420982253241
correlation,shared_oB,0-4,pearson_correlation,0.0035358045352235955
correlation,shared_oB,0-5,pearson_correlation,0.007902449627133611
correlation,shared_oB,0-6,pearson_correlation,0.015219522160228047
correlation,shared_oB,0-7,pearson_correlation,0.011733850715462742
correlation,shared_oB,1-2,pearson_correlation,-0.004512632018334919
correlation,shared_oB,1-3,pearson_correlation,-0.0247837880964618
correlation,shared_oB,1-4,pearson_correlation,-0.0013497115159935274
correlation,shared_oB,1-5,pearson_correlation,-0.013478993516801456
correlation,shared_oB,1-6,pearson_correlation,-0.005842518266584686
correlation,shared_oB,1-7,pearson_correlation,0.0023425578394581942
correlation,shared_oB,2-3,pearson_correlation,-0.02813202975065508
correlation,shared_oB,2-4,pearson_correlation,0.007249202348786748
correlation,shared_oB,2-5,pearson_correlation,0.006344179488000613
correlation,shared_oB,2-6,pearson_correlation,-0.003471439175317752
correlation,shared_oB,2-7,pearson_correlation,0.015130645899534832
correlation,shared_oB,3-4,pearson_correlation,0.014920932433735006
correlation,shared_oB,3-5,pearson_correlation,0.0075673955709121814
correlation,shared_oB,3-6,pearson_correlation,0.003571060750989806
correlation,shared_oB,3-7,pearson_correlation,-0.0013457445709399824
correlation,shared_oB,4-5,pearson_correlation,-0.013624359509353074
correlation,shared_oB,4-6,pearson_correlation,-0.007322577107788992
correlation,shared_oB,4-7,pearson_correlation,0.006721111995162429
correlation,shared_oB,5-6,pearson_correlation,-0.0008103973416665469
correlation,shared_oB,5-7,pearson_correlation,-0.006924537438828395
correlation,shared_oB,6-7,pearson_correlation,0.009639249953859823
octonion,shared_oB,,maximum_absolute_pairwise_correlation,0.02813202975065508
octonion,shared_oB,,maximum_correlation_pair,a2-a3
octonion,shared_oB,,maximum_correlation_signed_value,-0.02813202975065508
octonion,alice_secret_displacement,,null_octonion_count,0
octonion,alice_secret_displacement,,noninvertible_count,50
octonion,alice_secret_displacement,,noninvertible_rate,0.005
component,alice_secret_displacement,0,samples,10000
component,alice_secret_displacement,0,mean,127.2223
component,alice_secret_displacement,0,distinct_values,251
component,alice_secret_displacement,0,entropy_bits,7.949894294912255
component,alice_secret_displacement,0,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,0,chi_square_uniform,300.3873999999999
component,alice_secret_displacement,0,chi_square_df,250
component,alice_secret_displacement,1,samples,10000
component,alice_secret_displacement,1,mean,124.6375
component,alice_secret_displacement,1,distinct_values,251
component,alice_secret_displacement,1,entropy_bits,7.950939981124916
component,alice_secret_displacement,1,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,1,chi_square_uniform,285.0764000000001
component,alice_secret_displacement,1,chi_square_df,250
component,alice_secret_displacement,2,samples,10000
component,alice_secret_displacement,2,mean,125.6497
component,alice_secret_displacement,2,distinct_values,251
component,alice_secret_displacement,2,entropy_bits,7.952068277689084
component,alice_secret_displacement,2,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,2,chi_square_uniform,269.4641999999999
component,alice_secret_displacement,2,chi_square_df,250
component,alice_secret_displacement,3,samples,10000
component,alice_secret_displacement,3,mean,125.26
component,alice_secret_displacement,3,distinct_values,251
component,alice_secret_displacement,3,entropy_bits,7.95530734262648
component,alice_secret_displacement,3,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,3,chi_square_uniform,224.88660000000002
component,alice_secret_displacement,3,chi_square_df,250
component,alice_secret_displacement,4,samples,10000
component,alice_secret_displacement,4,mean,125.6124
component,alice_secret_displacement,4,distinct_values,251
component,alice_secret_displacement,4,entropy_bits,7.954267338884244
component,alice_secret_displacement,4,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,4,chi_square_uniform,236.78399999999996
component,alice_secret_displacement,4,chi_square_df,250
component,alice_secret_displacement,5,samples,10000
component,alice_secret_displacement,5,mean,124.9762
component,alice_secret_displacement,5,distinct_values,251
component,alice_secret_displacement,5,entropy_bits,7.954000313874089
component,alice_secret_displacement,5,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,5,chi_square_uniform,240.49880000000002
component,alice_secret_displacement,5,chi_square_df,250
component,alice_secret_displacement,6,samples,10000
component,alice_secret_displacement,6,mean,124.8399
component,alice_secret_displacement,6,distinct_values,251
component,alice_secret_displacement,6,entropy_bits,7.956763486098522
component,alice_secret_displacement,6,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,6,chi_square_uniform,205.86079999999995
component,alice_secret_displacement,6,chi_square_df,250
component,alice_secret_displacement,7,samples,10000
component,alice_secret_displacement,7,mean,125.3029
component,alice_secret_displacement,7,distinct_values,251
component,alice_secret_displacement,7,entropy_bits,7.953914875345051
component,alice_secret_displacement,7,maximum_uniform_entropy_bits,7.971543553950772
component,alice_secret_displacement,7,chi_square_uniform,244.2135999999997
component,alice_secret_displacement,7,chi_square_df,250
octonion,alice_secret_displacement,,mean_component_entropy_bits,7.95339448881933
octonion,alice_secret_displacement,,minimum_component_entropy_bits,7.949894294912255
octonion,alice_secret_displacement,,maximum_component_entropy_bits,7.956763486098522
octonion,alice_secret_displacement,,mean_component_chi_square,250.89647499999995
norm,alice_secret_displacement,,distinct_norm_values,251
norm,alice_secret_displacement,,mean,126.0553
norm,alice_secret_displacement,,entropy_bits,7.9512766902080765
norm,alice_secret_displacement,,chi_square_uniform,281.61259999999993
norm,alice_secret_displacement,,chi_square_df,250
quadratic_character,alice_secret_displacement,-1,count,5028
quadratic_character,alice_secret_displacement,-1,rate,0.5028
quadratic_character,alice_secret_displacement,0,count,50
quadratic_character,alice_secret_displacement,0,rate,0.005
quadratic_character,alice_secret_displacement,1,count,4922
quadratic_character,alice_secret_displacement,1,rate,0.4922
correlation,alice_secret_displacement,0-1,pearson_correlation,0.013235632317610909
correlation,alice_secret_displacement,0-2,pearson_correlation,-0.003878079195759099
correlation,alice_secret_displacement,0-3,pearson_correlation,-0.008249786443701768
correlation,alice_secret_displacement,0-4,pearson_correlation,0.0038733627557262585
correlation,alice_secret_displacement,0-5,pearson_correlation,0.006212985741901379
correlation,alice_secret_displacement,0-6,pearson_correlation,0.0051232819255809655
correlation,alice_secret_displacement,0-7,pearson_correlation,0.012780861177997652
correlation,alice_secret_displacement,1-2,pearson_correlation,-0.004735142295938408
correlation,alice_secret_displacement,1-3,pearson_correlation,0.004385606805946869
correlation,alice_secret_displacement,1-4,pearson_correlation,-0.01166220200048798
correlation,alice_secret_displacement,1-5,pearson_correlation,-0.010790243214274292
correlation,alice_secret_displacement,1-6,pearson_correlation,-0.012139019243232914
correlation,alice_secret_displacement,1-7,pearson_correlation,-0.0014517431875084642
correlation,alice_secret_displacement,2-3,pearson_correlation,-0.0017864010993957203
correlation,alice_secret_displacement,2-4,pearson_correlation,0.0026819987218516497
correlation,alice_secret_displacement,2-5,pearson_correlation,-0.015817732619343525
correlation,alice_secret_displacement,2-6,pearson_correlation,0.007640905444747377
correlation,alice_secret_displacement,2-7,pearson_correlation,0.014118584757732849
correlation,alice_secret_displacement,3-4,pearson_correlation,0.006710016872172715
correlation,alice_secret_displacement,3-5,pearson_correlation,-0.012808858955495281
correlation,alice_secret_displacement,3-6,pearson_correlation,0.0024568897693568823
correlation,alice_secret_displacement,3-7,pearson_correlation,0.0040615209538554485
correlation,alice_secret_displacement,4-5,pearson_correlation,0.003684541124523066
correlation,alice_secret_displacement,4-6,pearson_correlation,0.010969522007183442
correlation,alice_secret_displacement,4-7,pearson_correlation,-0.0034503033853288075
correlation,alice_secret_displacement,5-6,pearson_correlation,0.00040160867143242113
correlation,alice_secret_displacement,5-7,pearson_correlation,-0.005235663816064432
correlation,alice_secret_displacement,6-7,pearson_correlation,-0.007777899571247303
octonion,alice_secret_displacement,,maximum_absolute_pairwise_correlation,0.015817732619343525
octonion,alice_secret_displacement,,maximum_correlation_pair,a2-a5
octonion,alice_secret_displacement,,maximum_correlation_signed_value,-0.015817732619343525
octonion,bob_secret_displacement,,null_octonion_count,0
octonion,bob_secret_displacement,,noninvertible_count,43
octonion,bob_secret_displacement,,noninvertible_rate,0.0043
