candidate,norm,count,relative_frequency,expected_uniform_count
1,146,41,0.0041,39.8406374501992
1,147,38,0.0038,39.8406374501992
1,148,53,0.0053,39.8406374501992
1,149,34,0.0034,39.8406374501992
1,150,37,0.0037,39.8406374501992
1,151,37,0.0037,39.8406374501992
1,152,38,0.0038,39.8406374501992
1,153,39,0.0039,39.8406374501992
1,154,35,0.0035,39.8406374501992
1,155,37,0.0037,39.8406374501992
1,156,41,0.0041,39.8406374501992
1,157,52,0.0052,39.8406374501992
1,158,37,0.0037,39.8406374501992
1,159,44,0.0044,39.8406374501992
1,160,44,0.0044,39.8406374501992
1,161,37,0.0037,39.8406374501992
1,162,43,0.0043,39.8406374501992
1,163,42,0.0042,39.8406374501992
1,164,41,0.0041,39.8406374501992
1,165,42,0.0042,39.8406374501992
1,166,38,0.0038,39.8406374501992
1,167,49,0.0049,39.8406374501992
1,168,40,0.004,39.8406374501992
1,169,35,0.0035,39.8406374501992
1,170,43,0.0043,39.8406374501992
1,171,45,0.0045,39.8406374501992
1,172,44,0.0044,39.8406374501992
1,173,34,0.0034,39.8406374501992
1,174,38,0.0038,39.8406374501992
1,175,46,0.0046,39.8406374501992
1,176,36,0.0036,39.8406374501992
1,177,40,0.004,39.8406374501992
1,178,42,0.0042,39.8406374501992
1,179,29,0.0029,39.8406374501992
1,180,36,0.0036,39.8406374501992
1,181,36,0.0036,39.8406374501992
1,182,48,0.0048,39.8406374501992
1,183,42,0.0042,39.8406374501992
1,184,34,0.0034,39.8406374501992
1,185,30,0.003,39.8406374501992
1,186,34,0.0034,39.8406374501992
1,187,34,0.0034,39.8406374501992
1,188,39,0.0039,39.8406374501992
1,189,29,0.0029,39.8406374501992
1,190,38,0.0038,39.8406374501992
1,191,36,0.0036,39.8406374501992
1,192,49,0.0049,39.8406374501992
1,193,37,0.0037,39.8406374501992
1,194,33,0.0033,39.8406374501992
1,195,30,0.003,39.8406374501992
1,196,33,0.0033,39.8406374501992
1,197,44,0.0044,39.8406374501992
1,198,26,0.0026,39.8406374501992
1,199,26,0.0026,39.8406374501992
1,200,41,0.0041,39.8406374501992
1,201,39,0.0039,39.8406374501992
1,202,40,0.004,39.8406374501992
1,203,43,0.0043,39.8406374501992
1,204,40,0.004,39.8406374501992
1,205,31,0.0031,39.8406374501992
1,206,32,0.0032,39.8406374501992
1,207,22,0.0022,39.8406374501992
1,208,36,0.0036,39.8406374501992
1,209,40,0.004,39.8406374501992
1,210,34,0.0034,39.8406374501992
1,211,59,0.0059,39.8406374501992
1,212,46,0.0046,39.8406374501992
1,213,32,0.0032,39.8406374501992
1,214,34,0.0034,39.8406374501992
1,215,50,0.005,39.8406374501992
1,216,34,0.0034,39.8406374501992
1,217,48,0.0048,39.8406374501992
1,218,44,0.0044,39.8406374501992
1,219,35,0.0035,39.8406374501992
1,220,40,0.004,39.8406374501992
1,221,36,0.0036,39.8406374501992
1,222,28,0.0028,39.8406374501992
1,223,28,0.0028,39.8406374501992
1,224,37,0.0037,39.8406374501992
1,225,55,0.0055,39.8406374501992
1,226,40,0.004,39.8406374501992
1,227,47,0.0047,39.8406374501992
1,228,38,0.0038,39.8406374501992
1,229,43,0.0043,39.8406374501992
1,230,30,0.003,39.8406374501992
1,231,34,0.0034,39.8406374501992
1,232,43,0.0043,39.8406374501992
1,233,42,0.0042,39.8406374501992
1,234,32,0.0032,39.8406374501992
1,235,43,0.0043,39.8406374501992
1,236,42,0.0042,39.8406374501992
1,237,54,0.0054,39.8406374501992
1,238,43,0.0043,39.8406374501992
1,239,43,0.0043,39.8406374501992
1,240,38,0.0038,39.8406374501992
1,241,41,0.0041,39.8406374501992
1,242,37,0.0037,39.8406374501992
1,243,41,0.0041,39.8406374501992
1,244,38,0.0038,39.8406374501992
1,245,32,0.0032,39.8406374501992
1,246,39,0.0039,39.8406374501992
1,247,40,0.004,39.8406374501992
1,248,46,0.0046,39.8406374501992
1,249,44,0.0044,39.8406374501992
1,250,44,0.0044,39.8406374501992
2,0,30,0.003,39.8406374501992
2,1,44,0.0044,39.8406374501992
2,2,32,0.0032,39.8406374501992
2,3,33,0.0033,39.8406374501992
2,4,37,0.0037,39.8406374501992
2,5,37,0.0037,39.8406374501992
2,6,41,0.0041,39.8406374501992
2,7,45,0.0045,39.8406374501992
2,8,39,0.0039,39.8406374501992
2,9,38,0.0038,39.8406374501992
2,10,36,0.0036,39.8406374501992
2,11,45,0.0045,39.8406374501992
2,12,41,0.0041,39.8406374501992
2,13,37,0.0037,39.8406374501992
2,14,40,0.004,39.8406374501992
2,15,41,0.0041,39.8406374501992
2,16,36,0.0036,39.8406374501992
2,17,43,0.0043,39.8406374501992
2,18,42,0.0042,39.8406374501992
2,19,25,0.0025,39.8406374501992
2,20,36,0.0036,39.8406374501992
2,21,50,0.005,39.8406374501992
2,22,39,0.0039,39.8406374501992
2,23,44,0.0044,39.8406374501992
2,24,41,0.0041,39.8406374501992
2,25,33,0.0033,39.8406374501992
2,26,48,0.0048,39.8406374501992
2,27,57,0.0057,39.8406374501992
2,28,38,0.0038,39.8406374501992
2,29,39,0.0039,39.8406374501992
2,30,40,0.004,39.8406374501992
2,31,32,0.0032,39.8406374501992
2,32,27,0.0027,39.8406374501992
2,33,40,0.004,39.8406374501992
2,34,31,0.0031,39.8406374501992
2,35,49,0.0049,39.8406374501992
2,36,36,0.0036,39.8406374501992
2,37,38,0.0038,39.8406374501992
2,38,36,0.0036,39.8406374501992
2,39,41,0.0041,39.8406374501992
2,40,49,0.0049,39.8406374501992
2,41,37,0.0037,39.8406374501992
2,42,39,0.0039,39.8406374501992
2,43,32,0.0032,39.8406374501992
2,44,36,0.0036,39.8406374501992
2,45,32,0.0032,39.8406374501992
2,46,43,0.0043,39.8406374501992
2,47,34,0.0034,39.8406374501992
2,48,43,0.0043,39.8406374501992
2,49,35,0.0035,39.8406374501992
2,50,46,0.0046,39.8406374501992
2,51,39,0.0039,39.8406374501992
2,52,36,0.0036,39.8406374501992
2,53,37,0.0037,39.8406374501992
2,54,34,0.0034,39.8406374501992
2,55,31,0.0031,39.8406374501992
2,56,45,0.0045,39.8406374501992
2,57,48,0.0048,39.8406374501992
2,58,50,0.005,39.8406374501992
2,59,33,0.0033,39.8406374501992
2,60,33,0.0033,39.8406374501992
2,61,52,0.0052,39.8406374501992
2,62,38,0.0038,39.8406374501992
2,63,38,0.0038,39.8406374501992
2,64,40,0.004,39.8406374501992
2,65,41,0.0041,39.8406374501992
2,66,32,0.0032,39.8406374501992
2,67,37,0.0037,39.8406374501992
2,68,47,0.0047,39.8406374501992
2,69,46,0.0046,39.8406374501992
2,70,35,0.0035,39.8406374501992
2,71,50,0.005,39.8406374501992
2,72,44,0.0044,39.8406374501992
2,73,34,0.0034,39.8406374501992
2,74,39,0.0039,39.8406374501992
2,75,33,0.0033,39.8406374501992
2,76,57,0.0057,39.8406374501992
2,77,38,0.0038,39.8406374501992
2,78,38,0.0038,39.8406374501992
2,79,45,0.0045,39.8406374501992
2,80,34,0.0034,39.8406374501992
2,81,37,0.0037,39.8406374501992
2,82,29,0.0029,39.8406374501992
2,83,51,0.0051,39.8406374501992
2,84,43,0.0043,39.8406374501992
2,85,42,0.0042,39.8406374501992
2,86,46,0.0046,39.8406374501992
2,87,34,0.0034,39.8406374501992
2,88,44,0.0044,39.8406374501992
2,89,34,0.0034,39.8406374501992
2,90,52,0.0052,39.8406374501992
2,91,55,0.0055,39.8406374501992
2,92,42,0.0042,39.8406374501992
2,93,41,0.0041,39.8406374501992
2,94,33,0.0033,39.8406374501992
2,95,39,0.0039,39.8406374501992
2,96,44,0.0044,39.8406374501992
2,97,38,0.0038,39.8406374501992
2,98,47,0.0047,39.8406374501992
2,99,38,0.0038,39.8406374501992
2,100,30,0.003,39.8406374501992
2,101,43,0.0043,39.8406374501992
2,102,38,0.0038,39.8406374501992
2,103,37,0.0037,39.8406374501992
2,104,35,0.0035,39.8406374501992
2,105,32,0.0032,39.8406374501992
2,106,31,0.0031,39.8406374501992
2,107,48,0.0048,39.8406374501992
2,108,44,0.0044,39.8406374501992
2,109,39,0.0039,39.8406374501992
2,110,37,0.0037,39.8406374501992
2,111,46,0.0046,39.8406374501992
2,112,44,0.0044,39.8406374501992
2,113,46,0.0046,39.8406374501992
2,114,37,0.0037,39.8406374501992
2,115,46,0.0046,39.8406374501992
2,116,46,0.0046,39.8406374501992
2,117,37,0.0037,39.8406374501992
2,118,47,0.0047,39.8406374501992
2,119,41,0.0041,39.8406374501992
2,120,42,0.0042,39.8406374501992
2,121,36,0.0036,39.8406374501992
2,122,46,0.0046,39.8406374501992
2,123,46,0.0046,39.8406374501992
2,124,38,0.0038,39.8406374501992
2,125,37,0.0037,39.8406374501992
2,126,42,0.0042,39.8406374501992
2,127,38,0.0038,39.8406374501992
2,128,33,0.0033,39.8406374501992
2,129,34,0.0034,39.8406374501992
2,130,35,0.0035,39.8406374501992
2,131,43,0.0043,39.8406374501992
2,132,48,0.0048,39.8406374501992
2,133,33,0.0033,39.8406374501992
2,134,36,0.0036,39.8406374501992
2,135,37,0.0037,39.8406374501992
2,136,36,0.0036,39.8406374501992
2,137,45,0.0045,39.8406374501992
2,138,38,0.0038,39.8406374501992
2,139,39,0.0039,39.8406374501992
2,140,33,0.0033,39.8406374501992
2,141,46,0.0046,39.8406374501992
2,142,32,0.0032,39.8406374501992
2,143,37,0.0037,39.8406374501992
2,144,42,0.0042,39.8406374501992
2,145,46,0.0046,39.8406374501992
2,146,34,0.0034,39.8406374501992
2,147,46,0.0046,39.8406374501992
2,148,40,0.004,39.8406374501992
2,149,38,0.0038,39.8406374501992
2,150,40,0.004,39.8406374501992
2,151,41,0.0041,39.8406374501992
2,152,38,0.0038,39.8406374501992
2,153,42,0.0042,39.8406374501992
2,154,34,0.0034,39.8406374501992
2,155,24,0.0024,39.8406374501992
2,156,42,0.0042,39.8406374501992
2,157,41,0.0041,39.8406374501992
2,158,45,0.0045,39.8406374501992
2,159,49,0.0049,39.8406374501992
2,160,37,0.0037,39.8406374501992
2,161,33,0.0033,39.8406374501992
2,162,38,0.0038,39.8406374501992
2,163,53,0.0053,39.8406374501992
2,164,45,0.0045,39.8406374501992
